opportunity_id,created_date,department,region,customer_segment,converted,revenue
OPP-000001,2026-06-01,Northeast,East,SMB,True,365.09
OPP-000002,2026-06-01,Northeast,East,Enterprise,True,8130.51
OPP-000003,2026-06-01,Northeast,East,Enterprise,False,0.0
OPP-000004,2026-06-01,Northeast,East,Mid-Market,True,8805.24
OPP-000005,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000006,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000007,2026-06-01,Northeast,East,Enterprise,False,0.0
OPP-000008,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000009,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000010,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000011,2026-06-01,Northeast,East,Mid-Market,False,0.0
OPP-000012,2026-06-01,Northeast,East,SMB,True,2010.35
OPP-000013,2026-06-01,Northeast,East,SMB,True,676.57
OPP-000014,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000015,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000016,2026-06-01,Northeast,East,SMB,False,0.0
OPP-000017,2026-06-01,Northeast,East,SMB,True,511.88
OPP-000018,2026-06-01,Northeast,East,Mid-Market,True,4004.13
OPP-000019,2026-06-01,Southeast,East,Enterprise,False,0.0
OPP-000020,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000021,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000022,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000023,2026-06-01,Southeast,East,SMB,True,988.92
OPP-000024,2026-06-01,Southeast,East,Enterprise,False,0.0
OPP-000025,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000026,2026-06-01,Southeast,East,SMB,True,1965.06
OPP-000027,2026-06-01,Southeast,East,SMB,True,1101.28
OPP-000028,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000029,2026-06-01,Southeast,East,SMB,True,681.29
OPP-000030,2026-06-01,Southeast,East,SMB,True,953.74
OPP-000031,2026-06-01,Southeast,East,Mid-Market,False,0.0
OPP-000032,2026-06-01,Southeast,East,,True,7091.46
OPP-000033,2026-06-01,Southeast,East,Enterprise,False,0.0
OPP-000034,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000035,2026-06-01,Southeast,East,SMB,True,1315.86
OPP-000036,2026-06-01,Southeast,East,Mid-Market,False,0.0
OPP-000037,2026-06-01,Southeast,East,SMB,False,0.0
OPP-000038,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000039,2026-06-01,Northwest,West,Mid-Market,True,3636.37
OPP-000040,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000041,2026-06-01,Northwest,West,SMB,True,945.64
OPP-000042,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000043,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000044,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000045,2026-06-01,Northwest,West,SMB,True,1624.01
OPP-000046,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000047,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000048,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000049,2026-06-01,Northwest,West,Mid-Market,True,2479.76
OPP-000050,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000051,2026-06-01,Northwest,West,Mid-Market,False,0.0
OPP-000052,2026-06-01,Northwest,West,SMB,False,0.0
OPP-000053,2026-06-01,Northwest,West,Mid-Market,False,0.0
OPP-000054,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000055,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000056,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000057,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000058,2026-06-01,Southwest,West,Mid-Market,True,940.19
OPP-000059,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000060,2026-06-01,Southwest,West,Enterprise,True,6039.23
OPP-000061,2026-06-01,Southwest,West,SMB,True,1095.24
OPP-000062,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000063,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000064,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000065,2026-06-01,Southwest,West,SMB,True,644.13
OPP-000066,2026-06-01,Southwest,West,SMB,True,524.78
OPP-000067,2026-06-01,Southwest,West,SMB,True,982.89
OPP-000068,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000069,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000070,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000071,2026-06-01,Southwest,West,SMB,True,1063.86
OPP-000072,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000073,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000074,2026-06-01,Southwest,West,SMB,True,1271.89
OPP-000075,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000076,2026-06-01,Southwest,West,Enterprise,False,0.0
OPP-000077,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000078,2026-06-01,Southwest,West,Enterprise,False,0.0
OPP-000079,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000080,2026-06-01,Southwest,West,Mid-Market,False,0.0
OPP-000081,2026-06-01,Southwest,West,SMB,False,0.0
OPP-000082,2026-06-01,Southwest,West,SMB,True,1122.16
OPP-000083,2026-06-02,Northeast,East,Mid-Market,False,0.0
