date,department,region,headcount,absent_count,hours_worked
2026-06-01,Northeast,East,24,1,187.0
2026-06-01,Southeast,East,23,0,178.79
2026-06-01,Northwest,West,20,1,151.93
2026-06-01,Southwest,West,17,0,139.11
2026-06-02,Northeast,East,24,2,177.87
2026-06-02,Southeast,East,21,1,156.16
2026-06-02,Northwest,West,21,1,159.26
2026-06-02,Southwest,West,18,3,119.38
2026-06-03,Northeast,East,24,0,194.13
2026-06-03,Southeast,East,22,0,177.72
2026-06-03,Northwest,West,22,3,149.95
2026-06-03,Southwest,West,18,0,148.52
2026-06-04,Northeast,East,24,1,180.7
2026-06-04,Southeast,East,22,1,170.17
2026-06-04,Northwest,West,20,1,152.47
2026-06-04,Southwest,West,18,1,136.89
2026-06-05,Northeast,East,24,0,193.16
2026-06-05,Southeast,East,22,1,
2026-06-05,Northwest,West,20,1,150.9
2026-06-05,Southwest,West,19,1,147.87
2026-06-06,Northeast,East,22,1,148.49
2026-06-06,Southeast,East,22,1,151.01
2026-06-06,Northwest,West,20,0,144.23
2026-06-06,Southwest,West,18,2,108.11
2026-06-07,Northeast,East,23,0,162.49
2026-06-07,Southeast,East,22,1,148.47
2026-06-07,Northwest,West,20,0,142.63
2026-06-07,Southwest,West,18,0,125.19
2026-06-08,Northeast,East,23,1,174.12
2026-06-08,Southeast,East,22,0,177.79
2026-06-08,Northwest,West,20,0,158.31
2026-06-08,Southwest,West,18,0,138.21
2026-06-09,Northeast,East,23,3,161.6
2026-06-09,Southeast,East,21,0,173.2
2026-06-09,Northwest,West,20,1,148.27
2026-06-09,Southwest,West,18,0,142.64
2026-06-10,Northeast,East,25,0,201.74
2026-06-10,Southeast,East,22,0,170.22
2026-06-10,Northwest,West,20,1,152.93
2026-06-10,Southwest,West,18,1,135.04
2026-06-11,Northeast,East,23,1,176.88
2026-06-11,Southeast,East,23,0,185.43
2026-06-11,Northwest,West,21,1,157.44
2026-06-11,Southwest,West,17,1,122.49
2026-06-12,Northeast,East,24,0,186.12
2026-06-12,Southeast,East,21,1,163.35
2026-06-12,Northwest,West,22,1,169.66
2026-06-12,Southwest,West,17,0,137.07
2026-06-13,Northeast,East,24,1,159.47
2026-06-13,Southeast,East,22,2,141.43
2026-06-13,Northwest,West,20,1,127.06
2026-06-13,Southwest,West,18,0,127.84
2026-06-14,Northeast,East,26,2,172.89
2026-06-14,Southeast,East,22,0,151.02
2026-06-14,Northwest,West,20,0,137.51
2026-06-14,Southwest,West,19,0,137.49
2026-06-15,Northeast,East,24,1,183.84
2026-06-15,Southeast,East,22,0,174.18
2026-06-15,Northwest,West,19,3,128.69
2026-06-15,Southwest,West,19,2,135.53
2026-06-16,Northeast,East,24,0,192.88
2026-06-16,Southeast,East,22,0,177.72
2026-06-16,Northwest,West,21,0,163.1
2026-06-16,Southwest,West,17,0,142.89
2026-06-17,Northeast,East,24,0,197.85
2026-06-17,Southeast,East,21,0,170.57
2026-06-17,Northwest,West,20,1,151.35
2026-06-17,Southwest,West,18,0,144.36
2026-06-18,Northeast,East,24,0,191.81
2026-06-18,Southeast,East,21,1,156.49
2026-06-18,Northwest,West,20,1,146.69
2026-06-18,Southwest,West,18,0,145.95
2026-06-19,Northeast,East,24,0,196.01
2026-06-19,Southeast,East,22,3,151.38
2026-06-19,Northwest,West,20,0,160.97
2026-06-19,Southwest,West,18,0,144.36
2026-06-20,Northeast,East,24,3,155.35
2026-06-20,Southeast,East,21,2,127.91
2026-06-20,Northwest,West,20,0,145.62
2026-06-20,Southwest,West,18,1,111.09
2026-06-21,Northeast,East,24,1,159.8
2026-06-21,Southeast,East,21,1,133.77
2026-06-21,Northwest,West,19,0,128.61
2026-06-21,Southwest,West,17,1,124.26
2026-06-22,Northeast,East,23,1,177.37
2026-06-22,Southeast,East,24,0,191.02
2026-06-22,Northwest,West,20,0,158.5
2026-06-22,Southwest,West,18,0,143.05
2026-06-23,Northeast,East,24,0,189.78
2026-06-23,Southeast,East,22,1,168.62
2026-06-23,Northwest,West,20,1,152.0
2026-06-23,Southwest,West,18,0,143.61
2026-06-24,Northeast,East,26,1,201.54
2026-06-24,Southeast,East,22,0,177.04
2026-06-24,Northwest,West,19,2,137.05
2026-06-24,Southwest,West,18,0,147.71
2026-06-25,Northeast,East,24,3,166.11
2026-06-25,Southeast,East,22,1,166.83
2026-06-25,Northwest,West,20,1,152.61
2026-06-25,Southwest,West,19,1,143.05
2026-06-26,Northeast,East,24,0,190.51
2026-06-26,Southeast,East,20,0,166.91
2026-06-26,Northwest,West,19,0,150.69
2026-06-26,Southwest,West,18,1,134.66
2026-06-27,Northeast,East,25,2,168.85
2026-06-27,Southeast,East,23,1,161.86
2026-06-27,Northwest,West,20,1,132.57
2026-06-27,Southwest,West,18,0,130.68
2026-06-28,Northeast,East,23,1,154.12
2026-06-28,Southeast,East,23,0,169.2
2026-06-28,Northwest,West,20,2,126.45
2026-06-28,Southwest,West,17,1,118.68
2026-06-29,Northeast,East,24,2,171.95
2026-06-29,Southeast,East,22,1,165.32
2026-06-29,Northwest,West,20,1,154.44
2026-06-29,Southwest,West,16,1,120.29
2026-06-30,Northeast,East,24,1,175.75
2026-06-30,Southeast,East,22,0,169.67
2026-06-30,Northwest,West,21,1,163.39
2026-06-30,Southwest,West,18,1,140.27
2026-07-01,Northeast,East,24,2,177.08
2026-07-01,Southeast,East,21,0,167.39
2026-07-01,Northwest,West,20,2,139.77
2026-07-01,Southwest,West,18,1,133.03
2026-07-02,Northeast,East,24,2,179.38
2026-07-02,Southeast,East,22,3,155.43
2026-07-02,Northwest,West,21,0,177.31
2026-07-02,Southwest,West,18,0,150.42
2026-07-03,Northeast,East,24,0,197.24
2026-07-03,Southeast,East,21,0,161.59
2026-07-03,Northwest,West,20,0,162.1
2026-07-03,Southwest,West,18,0,134.76
2026-07-04,Northeast,East,24,0,170.8
2026-07-04,Southeast,East,22,5,117.03
2026-07-04,Northwest,West,20,0,141.72
2026-07-04,Southwest,West,18,0,126.0
2026-07-05,Northeast,East,24,0,167.39
2026-07-05,Southeast,East,22,0,154.41
2026-07-05,Northwest,West,20,1,128.57
2026-07-05,Southwest,West,17,1,109.93
2026-07-06,Northeast,East,24,2,176.79
2026-07-06,Southeast,East,23,2,167.72
2026-07-06,Northwest,West,21,1,156.65
2026-07-06,Southwest,West,18,1,132.45
2026-07-07,Northeast,East,24,1,190.88
2026-07-07,Southeast,East,21,0,163.84
2026-07-07,Northwest,West,20,2,136.68
2026-07-07,Southwest,West,19,0,149.86
2026-07-08,Northeast,East,23,1,177.71
2026-07-08,Southeast,East,22,1,169.45
2026-07-08,Northwest,West,21,0,162.09
2026-07-08,Southwest,West,19,1,148.46
2026-07-09,Northeast,East,24,1,185.4
2026-07-09,Southeast,East,24,0,192.28
2026-07-09,Northwest,West,20,0,156.62
2026-07-09,Southwest,West,18,1,137.26
2026-07-10,Northeast,East,23,0,175.71
2026-07-10,Southeast,East,21,0,166.83
2026-07-10,Northwest,West,22,0,172.15
2026-07-10,Southwest,West,18,1,134.86
2026-07-11,Northeast,East,24,0,167.6
2026-07-11,Southeast,East,23,1,154.91
2026-07-11,Northwest,West,23,1,160.61
2026-07-11,Southwest,West,18,2,112.41
2026-07-12,Northeast,East,24,2,156.6
2026-07-12,Southeast,East,21,1,143.25
2026-07-12,Northwest,West,20,2,128.19
2026-07-12,Southwest,West,18,0,125.49
2026-07-13,Northeast,East,25,2,182.66
2026-07-13,Southeast,East,20,2,149.46
2026-07-13,Northwest,West,21,1,153.99
2026-07-13,Southwest,West,15,2,113.68
2026-07-14,Northeast,East,24,0,193.86
2026-07-14,Southeast,East,21,0,168.4
2026-07-14,Northwest,West,20,0,161.38
2026-07-14,Southwest,West,18,0,147.59
2026-07-15,Northeast,East,25,1,188.45
2026-07-15,Southeast,East,23,0,189.62
2026-07-15,Northwest,West,20,0,160.53
2026-07-15,Southwest,West,18,0,142.55
2026-07-16,Northeast,East,23,2,169.81
2026-07-16,Southeast,East,21,0,165.84
2026-07-16,Northwest,West,21,1,156.85
2026-07-16,Southwest,West,16,1,120.99
2026-07-17,Northeast,East,24,1,183.36
